company_number,company_name,candidate_domain,http_status,match_strength,matched_on,page_sha256,notes
15099106,WEB INT LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: 404,ConnectTimeout,DNSFailure"
15103204,THE CREATIVE VIRTUAL ASSISTANT LIMITED,creativevirtualassistant.com,200,none,,6dc9c7fc93bb488bb0520a6c780a8d3c0fb5486a4711aca49b4c53fac7393023,
15130493,CHERRY VINTAGE LTD,cherryvintage.co.uk,200,weak,distinctive_name_only,c5dedbcea2bbee002472763a7cefe00e803fbfd23b9d535ea39522cd1f6d2fba,1 other candidate(s) also served a page
15148030,PEH-LEH UK LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
15150153,HANLAIM LTD,,,no_domain,,,"3 candidate(s) tried, none served an HTML page; statuses: ConnectionError,DNSFailure"
15209820,NRIA LIMITED,nria.co.uk,200,strong,full_registered_name,355352d9a9f68d01eea52a6e693487769485cb0ed02e9ea8cc95d2cd33311e51,
15232208,BESPOKE ADL LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
15240274,EM FABRICATIONS LTD,emfabrications.com,200,weak,distinctive_name_only,67084c604d5790178dd03c29b3e8e1d057c5a347da93fbb95fb5492835bee0b4,
15240724,UPSURGE STUDIO LTD,upsurgestudio.com,200,strong,company_number:15240724,00ee21d00769cc988dca3f9b6e50e88673c780f8a81953b1d57fd23919efc564,
15272351,SUSHI POINT TWICKENHAM LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
15330507,YOCYCLE LIMITED,yocycle.co.uk,200,strong,full_registered_name,9bc302260ac9b5839c45352a0e2decf8a1e24233f0c1262f39485d052c93fd81,
15338408,CARDOSO SERVICES LIMITED,cardososervices.com,200,weak,distinctive_name_only,c301b8e019d34387e2ab9044e02ee04199184badddd66f9e0b80ea7bed7469a3,
15396982,DID TEACH LIMITED,didteach.com,200,none,,2453b53ca4b0f6776531773680c735a068effef79b019a7a5c5239aa639262fc,redirected to www.thosewhocan.org
15482306,IFAC SERVICES UK LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
15488054,KAEDE & ARCA LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
15494248,BOSS SHOP LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure,SSLError"
15496809,MERA CONSULTANCY LTD,meraconsultancy.com,200,weak,distinctive_name_only,4bd05a4b288f79d44e83867d3c8b6ac7b7d4f75787f0d2a0fa420c2e85f45775,
15516196,TIMMY LOVES COMPANY LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
15532140,TERRASTRUCT LTD,terrastruct.co.uk,200,strong,company_number:15532140,6a1259297f6440682eb2dc7156824be4493aa1e894a8f5256c0ce56a360815fb,
15537604,FORBES-SPACE LTD,forbes-space.com,200,weak,distinctive_name_only,9ca0a6db4fa3adb2ae1e0b1fe7585095d700e51e9eb5498f4461aa3a3a19368e,
15551299,COOKMECH LTD,,,no_domain,,,"3 candidate(s) tried, none served an HTML page; statuses: ConnectTimeout,DNSFailure"
15567784,F M CREATIVE DECORS LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure,SSLError"
15653464,MK PROPERTY DEVELOPMENT DERBY LIMITED,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
15686175,PAPER RIGHT LTD,paperright.co.uk,200,weak,distinctive_name_only,4554724e84dd143d8f92884761bb3a8b8220f4f8df5a92b77607fa5e63e0e751,
15700649,REAL SURREY CONTRACTOR LTD,,,no_domain,,,"6 candidate(s) tried, none served an HTML page; statuses: DNSFailure"
